name,country,sport,substance,link,birthday
Julio Cesar Chavez Jr.,Mexico,Boxing,"['Diuretics', '(2010)', 'Cannabis', '(2012)']",/wiki/Julio_Cesar_Chavez_Jr.,1986-02-16
Zuraini Che Rose,Malaysia,Weightlifting,['Metandienone'],Page does not exist.,N/A
Cristiana Checchi,Italy,Shot put,['Doping'],/wiki/Cristiana_Checchi,1977-07-08
Juan Ignacio Chela,Argentina,Tennis,['Metil-testosterone'],/wiki/Juan_Ignacio_Chela,1979-08-30
Chen Ganfen,China,Swimming,[],Page does not exist.,N/A
Shiyun Chen,China,Swimming,['Prednisone'],Page does not exist.,N/A
Chen Sijia,China,Swimming,['Clenbuterol'],Page does not exist.,N/A
Alexei Cherepanov,Russia,Ice hockey,['Nikethamide'],/wiki/Alexei_Cherepanov,1989-01-15
Chen Po-Pu,Chinese Taipei,Weightlifting,['Methandienone'],Page does not exist.,N/A
Watsana Chianram,Thailand,Weightlifting,['Methandienone'],Page does not exist.,N/A
Viktor Chislean,Moldova,Weightlifting,[],Page does not exist.,N/A
Velichko Cholakov,Bulgaria,Weightlifting,['Steroids'],/wiki/Velichko_Cholakov,1982-01-12
Elais Christoforou,Cyprus,Swimming,['Ephedrine'],Page does not exist.,N/A
Traian Cihărean,Romania,Weightlifting,[],/wiki/Traian_Cih%C4%83rean,1969-07-13
César Cielo,Brazil,Swimming,['Furosemide'],/wiki/C%C3%A9sar_Cielo,1987-01-10
Marin Čilić,Croatia,Tennis,['Nikethamide'],/wiki/Marin_%C4%8Cili%C4%87,1988-09-28
Anatoli Ciricu,Moldova,Weightlifting,[],/wiki/Anatoli_Ciricu,1988-09-14
Velichko Cholakov,Bulgaria,Weightlifting,['Metandienone'],/wiki/Velichko_Cholakov,1982-01-12
Roger Clemens,United States,Baseball,"['Anabolic', 'steroids']",/wiki/Roger_Clemens,1962-08-04
Clemence Clerc,France,Water polo,"['Prednisone', '&', 'Prednisolone']",Page does not exist.,N/A
Madga Cojom,Guatemala,Weightlifting,[],Page does not exist.,N/A
Julien Colchen,France,Water polo,['Terbutaline'],Page does not exist.,N/A
Kleon Coleman,Belize,Volleyball,"['Hydrochlorothiazide,', 'Chloraminophenamide']",Page does not exist.,N/A
Carolina Colorado,Colombia,Swimming,['Sibutramine'],/wiki/Carolina_Colorado,1987-09-07
James Comben,England,Rugby union,['Methylhexanamine'],Page does not exist.,N/A
Gloria Comerma,Spain,Field hockey,[],/wiki/Gloria_Comerma,N/A
Alberto Contador,Spain,Cycling,['Clenbuterol'],/wiki/Alberto_Contador,1982-12-06
David Cookson,United Kingdom,Rugby,['Methylhexaneamine'],Page does not exist.,N/A
Chris Cooper,United States,American football,['THG'],/wiki/Chris_Cooper_(defensive_lineman),1977-12-27
Kit Cope,United States,Mixed martial arts,['Boldenone'],/wiki/Kit_Cope,1977-03-17
Guillermo Coria,Argentina,Tennis,['Nandrolone'],/wiki/Guillermo_Coria,1982-01-13
Chris Cornes,England,Football (soccer),['Cocaine'],/wiki/Chris_Cornes,1986-12-20
Alizé Cornet,France,Tennis,"['Missed', 'tests', '(later', 'cleared', 'due', 'to', 'misconduct', 'by', 'doping', 'officer)']",/wiki/Aliz%C3%A9_Cornet,1990-01-22
Alejandro Cortes Gonzalez,Chile,Weightlifting,['Dimethylpentylamine'],Page does not exist.,N/A
Leonardo Costa,Brazil,Swimming,['Stanozolol'],/wiki/Leonardo_Costa_(swimmer),1977-05-12
Ben Cousins,Australia,Australian rules football,"['Methamphetamine', '(admitted', 'to', 'a', 'U.S.', 'rehab', 'for', 'treatment)']",/wiki/Ben_Cousins,1978-06-30
Fernando Couto,Portugal,Football (soccer),['Nandrolone'],/wiki/Fernando_Couto,1969-08-02
Alexander Crispim,Brazil,Mixed martial arts,['Desoxymethyltestosterone'],Page does not exist.,N/A
Cronulla-Sutherland Sharks (eleven players),Australia,rugby league,"['Various', 'supplements']",/wiki/Cronulla-Sutherland_Sharks,N/A
Brayden Crossley,Australia,Australian rules football,['Cocaine'],/wiki/Brayden_Crossley,1999-08-16
Ryan Crowley,Australia,Australian rules football,['Methadone'],/wiki/Ryan_Crowley,1984-03-05
Kevin Cruz Soto,Chile,Weightlifting,['Dimethylpentylamine'],Page does not exist.,N/A
Brian Cushing,United States,American football,['hCG'],/wiki/Brian_Cushing,1987-01-24
Baatarsükhiin Chinzorig,Mongolia,Boxing,"['Metandienone', 'metabolite']",/wiki/Baatars%C3%BCkhiin_Chinzorig,1991-09-21
Omar Daaboul,Lebanon,Swimming,"['Methandienone,', 'Methyltestosterone,', 'Norandrosterone']",Page does not exist.,N/A
Phongsathon Daengsanan,Thailand,Weightlifting,['Metandienone'],Page does not exist.,N/A
Peter Daija,Canada,Shot put,[],Page does not exist.,N/A
Haider Dakhil,Iraq,Weightlifting,[],Page does not exist.,N/A
Marius Danciu,Romania,Weightlifting,['Methandienone'],Page does not exist.,N/A
Dang Zhiyong,China,Bodybuilding,[],Page does not exist.,N/A
Ashot Danielyan,Armenia,Weightlifting,['Steroids'],/wiki/Ashot_Danielyan,1974-04-11
Olga Danilova,Russia,Cross-country skiing,['NESP'],/wiki/Olga_Danilova,1970-06-10
Kofi Danso,United Kingdom,Basketball,"['Cannabis,', 'test', 'tampering']",Page does not exist.,N/A
Joey D'Antoni,United States,Cycling,"['Erythropoietin', '(EPO)']",Page does not exist.,N/A
Yerbolat Darivkhan,Mongolia,Weightlifting,['Metandienone'],Page does not exist.,N/A
Obiero David,Kenya,Weightlifting,[],Page does not exist.,N/A
Dimitrii Davidenco,Moldova,Weightlifting,['Stanozolol'],Page does not exist.,N/A
Edgar Davids,Netherlands,Football (soccer),['Nandrolone'],/wiki/Edgar_Davids,1973-03-13
Ceri Davies,United Kingdom,Rugby,['Drostanolone'],Page does not exist.,N/A
Zviad Davitiani,France,Water polo,['Cocaine'],Page does not exist.,N/A
Mohsen Davoodi,Iran,Weightlifting,['Metandienone'],Page does not exist.,N/A
Alina Davydchenko,Ukraine,Weightlifting,['Methyltestosterone'],Page does not exist.,N/A
Deco,Portugal,Football (soccer),['Furosemide'],/wiki/Deco,1977-08-27
Michael de Angelis,Italy,Ice hockey,['Ephedrine'],/wiki/Michael_de_Angelis,1966-01-27
Frank de Boer,Netherlands,Football (soccer),['Nandrolone'],/wiki/Frank_de_Boer,1970-05-15
Samuel de Bona,Brazil,Swimming,['Methylhexaneamine'],/wiki/Samuel_de_Bona,1990-10-01
Francesco De Bonis,Italy,Cycling,[],/wiki/Francesco_De_Bonis,1982-04-14
Rusmin Dedić,Slovenia,Football (soccer),['Testosterone'],/wiki/Rusmin_Dedi%C4%87,1982-09-11
Gervasio Deferr,Spain,Gymnastics,['Cannabis'],/wiki/Gervasio_Deferr,1980-11-07
Thomas Dekker,Netherlands,Cycling,['EPO'],/wiki/Thomas_Dekker_(cyclist),1984-09-06
Efrain de la Rosa,Dominican Republic,Weightlifting,"['Stanozolol,', 'Hydroxystanozolol']",Page does not exist.,N/A
Flávia Delaroli,Brazil,Swimming,['Tuaminoheptane'],/wiki/Fl%C3%A1via_Delaroli,1983-12-28
Vilimoni Delasau,Fiji,Rugby union,['Cannabis'],/wiki/Vilimoni_Delasau,1977-07-12
Carlo Del Fava,Italy,Rugby,[],/wiki/Carlo_Del_Fava,1981-07-01
Bernardo de Figueiredo,Brazil,Swimming,['Methylhexaneamine'],Page does not exist.,N/A
Luca De Matteis,Italy,Swimming,['Tuaminoheptane'],Page does not exist.,N/A
Jacques Demers,Canada,Weightlifting,['Steroids'],/wiki/Jacques_Demers_(weightlifter),N/A
Maria Demertzi,Greece,Swimming,['Testosterone'],Page does not exist.,N/A
Vasileios Demetis,Greece,Swimming,['Caffeine'],/wiki/Vasileios_Demetis,1983-05-12
Demir Demirev,Bulgaria,Weightlifting,['Steroids'],/wiki/Demir_Demirev,1984-08-31
Vincent de Nardi,France,Water polo,['Cannabis'],/wiki/Vincent_de_Nardi,1967-05-17
Daynara de Paula,Brazil,Swimming,['Furosemide'],/wiki/Daynara_de_Paula,1989-07-25
João Derly,Brazil,Judo,['Diuretics'],/wiki/Jo%C3%A3o_Derly,1981-07-02
Cristoforos Dermitzakis,Greece,Water polo,['Pseudoephedrine'],Page does not exist.,N/A
Kasun De Silva,Sri Lanka,Rugby union,['cannabis'],Page does not exist.,N/A
Pamela Alencar de Souza,Brazil,Swimming,['Methylhexaneamine'],Page does not exist.,N/A
Serge Despres,Canada,Bobsledding,['Nandrolone'],/wiki/Serge_Despres,N/A
Frankie Dettori,Ireland,Horse racing,['Cocaine'],/wiki/Frankie_Dettori,1970-12-15
Lindsay Devaney,United States,Swimming,"['Refusal', 'to', 'submit', 'to', 'doping', 'test']",Page does not exist.,N/A
Kavita Devi,India,Weightlifting,[],/wiki/Kavita_Devi_(wrestler),1986-09-20
Kunjarani Devi,India,Weightlifting,['Strychnine'],/wiki/Kunjarani_Devi,1966-03-01
Monika Devi,India,Weightlifting,[],/wiki/Monika_Devi,N/A
Sukhen Dey,India,Weightlifting,['Methylhexaneamine'],/wiki/Sukhen_Dey_(weightlifter),1989-03-28
Nick Diaz,United States,Mixed martial arts,['cannabis'],/wiki/Nick_Diaz,1983-08-02
Mark Dickel,New Zealand,Basketball,['Cannabis'],/wiki/Mark_Dickel,1976-12-21
Niroshan Dickwella,Sri Lanka,Cricket,['Cocaine'],/wiki/Niroshan_Dickwella,1993-06-23
Aurimas Didžbalis,Lithuania,Weightlifting,['Dehydrochlormethyltestosterone'],/wiki/Aurimas_Did%C5%BEbalis,1991-06-13
Ludo Dierckxsens,Belgium,Cycling,['Cortisone'],/wiki/Ludo_Dierckxsens,1964-10-14
Roland Diethart,Austria,Cross-country skiing,"['Violation', 'of', 'blood', 'doping', 'rules']",/wiki/Roland_Diethart,1973-08-03
Robert Dietrich,Germany,Ice hockey,"['Missed', 'test']",/wiki/Robert_Dietrich,1986-07-25
Ben Dietvorst,Belgium,Water polo,['Cannabis'],Page does not exist.,N/A
Bert Dietz,Germany,Cycling,"['Erythropoietin', '(EPO)', '(self-admitted)']",/wiki/Bert_Dietz,1969-02-09
Arthur Dilman,Kazakhstan,Swimming,['Furosemide'],Page does not exist.,N/A
Eva Maria Dimas,El Salvador,Weightlifting,['Nandrolone'],Page does not exist.,N/A
Vasilka Dineva,Bulgaria,Weightlifting,['Metandienone'],Page does not exist.,N/A
Ding Haifeng,China,Weightlifting,[],/wiki/Ding_Haifeng,1991-07-17
Danilo Di Luca,Italy,Cycling,['EPO'],/wiki/Danilo_Di_Luca,1976-01-02
Nuria Diosdado,Mexico,Swimming,['Clenbuterol'],/wiki/Nuria_Diosdado,1990-08-22
Simon Pietro Di Santos,Italy,Swimming,['Cannabis'],Page does not exist.,N/A
Estera Dobre,Romania,Wrestling,['Furosemide'],/wiki/Estera_Dobre,1987-02-10
Tony Dodson,United Kingdom,Boxing,[],/wiki/Tony_Dodson,1980-07-02
Harun Doğan,Turkey,Wrestling,"['Metenolone,', 'Ephedrine']",/wiki/Harun_Do%C4%9Fan,1976-01-01
Jerramie Domish,United States,Ice hockey,[],Page does not exist.,N/A
Isabell Donath,Germany,Swimming,"['Missed', 'test']",Page does not exist.,N/A
Armando dos Santos,Brazil,Bobsledding,['Nandrolone'],/wiki/Armando_dos_Santos_(bobsleigh),N/A
John Donnelly,United Kingdom,Boxing,['Benzoylecgonine'],Page does not exist.,N/A
Sabina Dostalova,Czech Republic,Swimming,['Methandienone'],Page does not exist.,N/A
Juan Pablo Dotti,Argentina,Cycling,['Amphetamines'],/wiki/Juan_Pablo_Dotti,1984-06-24
Matej Douda,Czech Republic,Volleyball,['Cannabinoids'],Page does not exist.,N/A
Mikhail Dovgalyuk,Russia,Swimming,[],/wiki/Mikhail_Dovgalyuk,1995-06-03
Izabela Dragneva,Bulgaria,Weightlifting,['Furosemide'],/wiki/Izabela_Dragneva,1971-10-01
Alban Dragusha,Albania,Football (soccer),['Nandrolone'],/wiki/Alban_Dragusha,1981-12-11
Nicolas Dran,France,Volleyball,['Cocaine'],Page does not exist.,N/A
Volha Dryla,Belarus,Weightlifting,['Stanozolol'],Page does not exist.,N/A
Ioannis Drymonakos,Greece,Swimming,['Methyltrienolone'],/wiki/Ioannis_Drymonakos,1984-01-18
Laurent Dufaux,Switzerland,Cycling,"['Erythropoietin', '(EPO)']",/wiki/Laurent_Dufaux,1969-05-20
Christophe Dugarry,France,Football (soccer),['Nandrolone'],/wiki/Christophe_Dugarry,1972-03-24
Matt Dumontelle,Canada,Curling,['Methandienone'],/wiki/Matt_Dumontelle,1984-11-28
Terry Dunstan,United Kingdom,Boxing,[],/wiki/Terry_Dunstan,1968-10-28
Antony Dupuis,France,Tennis,['Salbutamol'],/wiki/Antony_Dupuis,1973-02-24
Jamie Durbin,United Kingdom,Rugby League,['Stanozolol'],/wiki/Jamie_Durbin,1984-09-07
Johannes Dürr,Austria,Cross-country skiing,['Erythropoietin'],/wiki/Johannes_D%C3%BCrr,1987-03-12
Myroslav Dykun,United Kingdom,Wrestling,['Methamphetamine'],/wiki/Myroslav_Dykun,N/A
Gamlet Dzhioyev,Russia,Wrestling,[],Page does not exist.,N/A
Alexander Dzyuba,Kazakhstan,Weightlifting,['Stanozolol'],Page does not exist.,N/A
Johannes Eder,Austria,Cross-country skiing,"['Violation', 'of', 'blood', 'doping', 'rules']",/wiki/Johannes_Eder,1979-10-19
Constantinos Efstathiou,Cyprus,Volleyball,['Pseudoephedrine'],Page does not exist.,N/A
Aram Eidipour,Iran,Water polo,['MDMA'],Page does not exist.,N/A
Jean-Pierre Élissalde,France,Rugby union,"['Amphetamines', '(self-admitted)']",/wiki/Jean-Pierre_%C3%89lissalde,1953-12-31
Salameddin Eladhem,Libya,Weightlifting,['Metandienone'],Page does not exist.,N/A
Lafrik Elmehdi,Morocco,Weightlifting,['Cannabinoids'],Page does not exist.,N/A
Dina Ibrahim El Sayed,Egypt,Swimming,['19-Norandrosterone'],Page does not exist.,N/A
M. Amir Mahmoud Elsayed,Egypt,Weightlifting,[],Page does not exist.,N/A
Ashrakat Abdel El Shehawy,Egypt,Swimming,['Dexamethasone'],Page does not exist.,N/A
Abu Emad Mohd,Jordan,Weightlifting,['Stanozolol'],Page does not exist.,N/A
Bilgin Emine,Turkey,Weightlifting,"['T/E', '21.5']",Page does not exist.,N/A
Kornelia Ender,East Germany,Swimming,['(Self-admitted)'],/wiki/Kornelia_Ender,1958-10-25
Derek Eng Hao Lee,Singapore,Water polo,['Pseudoephedrine'],Page does not exist.,N/A
Tomáš Enge,Czech Republic,Auto racing,['Cannabis'],/wiki/Tom%C3%A1%C5%A1_Enge,1976-09-11
Ludmila Engquist,Sweden,Bobsledding,[],/wiki/Ludmila_Engquist,1964-04-21
Sébastien Enjolras,France,Auto racing,['Cannabis'],/wiki/S%C3%A9bastien_Enjolras,1976-04-04
Sara Errani,Italy,Tennis,['Letrozole'],/wiki/Sara_Errani,1987-04-29
Nima Esfandari,Iran,Volleyball,['Norandrosterone'],Page does not exist.,N/A
Essendon Football Club (34 players),Australia,Australian rules football,"['Thymosin', 'beta-4']",/wiki/Essendon_Football_Club,1872
Ariana Evangelista,Philippines,Cycling,['Erythropoietin'],Page does not exist.,N/A
Dan Evans,United Kingdom,Tennis,['Cocaine'],/wiki/Dan_Evans_(tennis),1990-05-23
Laurie Evans,England,Cricket,[],/wiki/Laurie_Evans_(cricketer),1987-10-12
Jean-Jacques Eydelie,France,Football (soccer),[],/wiki/Jean-Jacques_Eydelie,1966-02-03
Saad Faeaz,Iraq,Bodybuilding,['Nandrolone'],Page does not exist.,N/A
Thomas Fagerli,Norway,Water polo,['Cannabis'],Page does not exist.,N/A
Kieren Fallon,Ireland,Horse racing,[],/wiki/Kieren_Fallon,1965-02-22
Robert Farah,Colombia,Tennis,['Boldenone'],/wiki/Robert_Farah_(tennis),1987-01-20
Leuzkis Farias,Venezuela,Weightlifting,['Stanozolol'],Page does not exist.,N/A
Alexander Farnell,Canada,Swimming,['Cannabis'],Page does not exist.,N/A
John Farnell,Canada,Water polo,['Cannabis'],Page does not exist.,N/A
Svetlana Fedorova,Russia,Rowing,[],Page does not exist.,N/A
Tiro Feras,Syria,Weightlifting,['Clenbuterol'],Page does not exist.,N/A
Rio Ferdinand,England,Football (soccer),"['Missed', 'test']",/wiki/Rio_Ferdinand,1978-11-07
Daniel Fernandes,Portugal,Football (soccer),['Dextroamphetamine'],/wiki/Daniel_Fernandes_(footballer),1983-09-25
Alexandre Batista Ferreira,Portugal,Volleyball,['Cannabinoids'],Page does not exist.,N/A
Marco Fertonani,Italy,Cycling,['Testosterone'],/wiki/Marco_Fertonani,1976-07-08
Mike Fibbens,United Kingdom,Swimming,['Cocaine'],/wiki/Mike_Fibbens,1968-05-31
Laurent Fignon,France,Cycling,['Amphetamine'],/wiki/Laurent_Fignon,1960-08-12
Aaron Fike,United States,Auto Racing,['Heroin'],/wiki/Aaron_Fike,1982-11-24
Mehmed Fikretov,Bulgaria,Weightlifting,['Steroids'],/wiki/Mehmed_Fikretov,1986-11-18
Ivailo Filev,Bulgaria,Weightlifting,['Steroids'],Page does not exist.,N/A
Mirko “Cro Cop” Filipović,Croatia,Mixed martial arts,"['Human', 'growth', 'hormone']",/wiki/Mirko_Cro_Cop,1974-09-10
Nedim Fisic,Bosnia and Herzegovina,Weightlifting,['Methandienone'],Page does not exist.,N/A
Gregoire Fischer,France,Water polo,['Cannabis'],Page does not exist.,N/A
Sveinung Fjeldstad,Norway,Football (soccer),[],/wiki/Sveinung_Fjeldstad,1978-08-26
Stephen Fleming,New Zealand,Cricket,['Cannabis'],/wiki/Stephen_Fleming,1973-04-01
Rachelle Fleurant,Canada,Bobsleigh,"['Clenbuterol,', 'Hydrochlorothiazide,', 'oxandrolone']",Page does not exist.,N/A
Dmitriy Fofonov,Kazakhstan,Cycling,['Heptaminol'],/wiki/Dmitriy_Fofonov,1976-08-15
Camilla Fogagnolo,Australia,Weightlifting,[],/wiki/Camilla_Fogagnolo,1986-05-31
Mabel Fonseca,Puerto Rico,Weightlifting,['Stanozolol'],/wiki/Mabel_Fonseca,1972-05-08
Eugenia Fontana,Argentina,Weightlifting,['Nandrolone'],Page does not exist.,N/A
Hermes Franca,Brazil,Mixed martial arts,['Drostanolone'],/wiki/Hermes_Franca,1974-08-26
Samuel Francis,Qatar,Athletics,['Stanozolol'],/wiki/Samuel_Francis_(athlete),1987-03-27
Ryan Franklin,United States,Baseball,['Steroids'],/wiki/Ryan_Franklin,1973-03-05
Joe Frans,Canada,Curling,['Cocaine'],/wiki/Joe_Frans,1975-07-01
Zdenek Frantisak,Czech Republic,Swimming,['Epehdrine'],Page does not exist.,N/A
Dario Frigo,Italy,Cycling,"['Erythropoietin', '(EPO)']",/wiki/Dario_Frigo,1973-09-18
William Frullani,Italy,Bobsleigh,['Methylhexanamine'],/wiki/William_Frullani,1979-09-21
Fu Bo,China,Swimming,['Clenbuterol'],Page does not exist.,N/A
Fu Yong,China,Swimming,[],/wiki/Fu_Yong,1978-01-04
Tyson Fury,United Kingdom,Boxing,['Cocaine'],/wiki/Tyson_Fury,1988-08-12
Mohammed Gaber,Egypt,Weightlifting,[],Page does not exist.,N/A
Ivailo Gabrovski,Bulgaria,Cycling,['EPO'],/wiki/Ivailo_Gabrovski,1978-01-31
Al-Saadi Gaddafi,Libya,Football (soccer),['Nandrolone'],/wiki/Al-Saadi_Gaddafi,1973-05-25
Éric Gagné,Canada,Baseball,"['Human', 'growth', 'hormone']",/wiki/%C3%89ric_Gagn%C3%A9,1976-01-07
Alexander Gaidukov,Russia,Water polo,['Carphedon'],/wiki/Aleksandr_Gaidukov_(water_polo),1974-01-10
Aaron Galindo,Mexico,Football (soccer),['Nandrolone'],/wiki/Aaron_Galindo,1982-05-08
Luiza Galiulina,Uzbekistan,Gymnastics,['Furosemide'],/wiki/Luiza_Galiulina,1992-06-23
Gao Yanzhi,China,Weightlifting,[],Page does not exist.,N/A
Ismael Garcia Bravo,Spain,Swimming,['Ephedrine'],Page does not exist.,N/A
Sergio Garcia Ortiz,Spain,Swimming,[],Page does not exist.,N/A
Juan Garriga,Spain,Motorcycle racing,"['(never', 'sanctioned;', 'admitted', 'to', 'use', 'after', 'the', 'end', 'of', 'his', 'career)']",/wiki/Juan_Garriga,N/A
Lukasz Gasior,Poland,Swimming,['Cannabis'],/wiki/Lukasz_Gasior,1986-01-14
Richard Gasquet,France,Tennis,"['Cocaine', '(later', 'forgiven', 'by', 'the', 'excuse', 'that', 'he', 'kissed', 'a', 'girl', 'who', 'used', 'cocaine)']",/wiki/Richard_Gasquet,1986-06-18
Stefano Garzelli,Italy,Cycling,['Probenecid'],/wiki/Stefano_Garzelli,1973-07-16
Philippe Gaumont,France,Cycling,"['Erythropoietin', '(EPO)', '(self-admitted)']",/wiki/Philippe_Gaumont,1973-02-22
Michael Gausman,United States,Swimming,['Cannabinoids'],Page does not exist.,N/A
Vikas Singh Gautam,France,Volleyball,['Steroids'],Page does not exist.,N/A
Anzhelika Gavrilova,Kazakhstan,Speed skating,['Clenbuterol'],/wiki/Anzhelika_Gavrilova,1978-04-14
Pauline Gendrier,France,Volleyball,['Cocaine'],Page does not exist.,N/A
Ivan Gertlein,Russia,Pole vaulting,['DHEA'],/wiki/Ivan_Gertlein,1987-09-25
Sylvain Georges,France,Cycling,['Heptaminol'],/wiki/Sylvain_Georges,1984-05-01
Tihomir Georgiev,Bulgaria,Volleyball,['Cannabinoids'],Page does not exist.,N/A
Amanda Gerhart,Canada,Wrestling,"['Refusal', 'to', 'submit', 'to', 'doping', 'test']",Page does not exist.,N/A
Dinko Geshev,Poland,Swimming,['Cannabis'],Page does not exist.,N/A
Ute Geweniger,East Germany,Swimming,"['Turinabol', '(self-admitted)']",/wiki/Ute_Geweniger,1964-02-24
Alireza Gharibi,Iran,Wrestling,['D-methamphetamine'],Page does not exist.,N/A
Jason Giambi,United States,Baseball,"['Human', 'growth', 'hormone,', 'steroids', '(self-admitted)']",/wiki/Jason_Giambi,1971-01-08
Jeremy Giambi,United States,Baseball,"['Human', 'growth', 'hormone,', 'steroids', '(self-admitted)']",/wiki/Jeremy_Giambi,1974-09-30
Jay Gibbons,United States,Baseball,"['Growth', 'hormone']",/wiki/Jay_Gibbons,1977-03-02
Lewis Gibbons,United Kingdom,Football (soccer),"['Benzoylecgonine,', 'cannabis']",Page does not exist.,N/A
Jack Gibbs,United Kingdom,Wheelchair basketball,[],Page does not exist.,N/A
Monica Gibellini,Italy,Water polo,['Cannabinoids'],Page does not exist.,N/A
Ed Giddins,England,Cricket,['Cocaine'],/wiki/Ed_Giddins,1971-07-20
Lukasz Giminski,Poland,Swimming,[],Page does not exist.,N/A
Felice Gimondi,Italy,Cycling,[],/wiki/Felice_Gimondi,1942-09-29
Everton Giovanella,Brazil,Football (soccer),[],/wiki/Everton_Giovanella,1970-09-13
Christopher Girard,Canada,Water polo,['Cannabis'],/wiki/Christopher_Girard,1985-12-21
Mads Glaesner,Denmark,Swimming,['Levomethamphetamine'],/wiki/Mads_Glaesner,1988-10-18
Martin Gleeson,United Kingdom,Rugby,['Methylhexaneamine'],/wiki/Martin_Gleeson_(rugby_league),1980-05-25
Josh Glenn,Australia,Australian rules football,"['19-Norandrosterone,', '19-Noretiocholanolone']",/wiki/Josh_Glenn,1994-03-10
Ekaterina Gnidenko,Russia,Cycling,"['Dehydrochlormethyltestosterone', '(Turinabol)']",/wiki/Ekaterina_Gnidenko,1992-12-11
Anthony Gobert,Australia,Motorcycle racing,"['Cannabis', '(Not', 'sanctioned', 'for', 'first', 'offence,', 'but', 'was', 'released', 'from', 'contract', 'by', 'team)']",/wiki/Anthony_Gobert,1975-03-05
Luis Pereira Melo Godinho,Portugal,Volleyball,['Cannabinoids'],Page does not exist.,N/A
Babak Goldasteh,Iran,Wrestling,"['Anabolic', 'steroids']",Page does not exist.,N/A
Andreas Goldberger,Austria,Ski jumping,['Cocaine'],/wiki/Andreas_Goldberger,1972-11-29
Daria Goltsova,Russia,Weightlifting,['Cocaine'],Page does not exist.,N/A
Joellison Viana de Silva Gomez,Brazil,Weightlifting,['Methylhexaneamine'],Page does not exist.,N/A
Kerem Gönlüm,Turkey,Basketball,['Cathine'],/wiki/Kerem_G%C3%B6nl%C3%BCm,1977-11-22
Derlis Gómez,Paraguay,Football (soccer),['Coca'],/wiki/Derlis_G%C3%B3mez,1972-11-02
Aitor González,Spain,Cycling,"['Methyltestosterone', 'metabolite']",/wiki/Aitor_Gonz%C3%A1lez,1975-02-27
Dee Gordon,United States,Baseball,"['Exogenous', 'Testosterone', 'and', 'Clostebol']",/wiki/Dee_Gordon,1988-04-22
Dwight Gooden,United States,Baseball,['Cocaine'],/wiki/Dwight_Gooden,1964-11-16
Besarion Goshashvili,Georgia,Wrestling,['Furosemide'],Page does not exist.,N/A
Anna Gostomelsky,Israel,Swimming,['Prednisolone'],/wiki/Anna_Gostomelsky,1981-06-09
Ólafur Gottskálksson,Iceland,Football (soccer),[],/wiki/%C3%93lafur_Gottsk%C3%A1lksson,1968-03-12
Lauren Goulart,Brazil,Swimming,['Methylhexaneamine'],Page does not exist.,N/A
Royce Gracie,Brazil,Mixed martial arts,"['Nandrolone', 'metabolite']",/wiki/Royce_Gracie,1966-12-12
Sam Grammer,United States,Highland Games,[],Page does not exist.,N/A
Johan Granath,Sweden,Speed skating,"['Unknown', 'substance']",/wiki/Johan_Granath,1950-03-04
Guy Greavette,Canada,Weightlifting,"['Anabolic', 'steroids']",/wiki/Guy_Greavette,1960-04-27
Robbie Green,United Kingdom,Darts,['Cannabis'],/wiki/Robbie_Green,1974-07-19
Elen Grigoryan,Armenia,Weightlifting,['Methandienone'],/wiki/Elen_Grigoryan,N/A
Jason Grimsley,United States,Baseball,"['Amphetamines,', 'anabolic', 'steroids,', 'human', 'growth', 'hormone,', '(self-admitted)']",/wiki/Jason_Grimsley,1967-08-07
Kevin Grubb,United States,Auto Racing,"['Refusal', 'to', 'submit', 'to', 'doping', 'control']",/wiki/Kevin_Grubb,1978-04-19
Firas Guachai,Tunisia,Swimming,['Testosterone'],Page does not exist.,N/A
Pep Guardiola,Spain,Football (soccer),['Nandrolone'],/wiki/Pep_Guardiola,1971-01-18
Elzo Guerra Aranoz,Chile,Weightlifting,['Methandienone'],Page does not exist.,N/A
Melvin Guillard,United States,Mixed martial arts,['Cocaine'],/wiki/Melvin_Guillard,1983-03-30
Zafar Guliyev,Russia,Wrestling,['Bromantan'],/wiki/Zafar_Guliyev,N/A
Fabrizio Guidi,Italy,Cycling,"['Erythropoietin', '(EPO)']",/wiki/Fabrizio_Guidi,1972-04-13
Zahid Gulfam,Pakistan,Cycling,['Nandrolone'],Page does not exist.,N/A
Ari Gunnarsson,Iceland,Swimming,['19-Norandrosterone'],/wiki/Ari_Gunnarsson,1983-11-15
Mathias Gunthar,Sweden,Wrestling,['Furosemide'],Page does not exist.,N/A
Guo Tianxin,China,Weightlifting,['Clenbuterol'],Page does not exist.,N/A
Carlos Gurpegi,Spain,Football (soccer),['19-norandrosterone'],/wiki/Carlos_Gurpegi,1980-08-19
Keith Gurusinghe,Sri Lanka,Rugby union,['Methylhexanamine'],Page does not exist.,N/A
Rebeca Gusmão,Brazil,Swimming,"['Testosterone;', 'Tampering']",/wiki/Rebeca_Gusm%C3%A3o,1984-08-24
Ferenc Gyurkovics,Hungary,Weightlifting,['Oxandrolone'],/wiki/Ferenc_Gyurkovics,1979-09-03
Milan Haborák,Slovakia,Shot put,"['Human', 'chorionic', 'gonadotropin,', 'steroids']",/wiki/Milan_Habor%C3%A1k,1973-01-11
Beatriz Haddad Maia,Brazil,Tennis,"['Enobosarm', 'and', 'Ligandrol']",/wiki/Beatriz_Haddad_Maia,1996-05-30
